schema,table,column,data_type,enum_allowed_values,is_nullable,column_default,is_identity,generated_kind,is_primary_key,is_unique,fk_schema,fk_table,fk_column,check_expression
auth,users,recovery_token,character varying(255),null,true,null,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,recovery_sent_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_change_token_new,character varying(255),null,true,null,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_change,character varying(255),null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_change_sent_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,last_sign_in_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,raw_app_meta_data,jsonb,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,raw_user_meta_data,jsonb,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,is_super_admin,boolean,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,phone,text,null,true,NULL::character varying,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,phone_confirmed_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,phone_change,text,null,true,''::character varying,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,phone_change_token,character varying(255),null,true,''::character varying,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,phone_change_sent_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,confirmed_at,timestamp with time zone,null,true,"LEAST(email_confirmed_at, phone_confirmed_at)",false,s,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_change_token_current,character varying(255),null,true,''::character varying,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_change_confirm_status,smallint,null,true,0,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,banned_until,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,reauthentication_token,character varying(255),null,true,''::character varying,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,reauthentication_sent_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,is_sso_user,boolean,null,false,false,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,deleted_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,is_anonymous,boolean,null,false,false,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
pgsodium,key,id,uuid,null,false,gen_random_uuid(),false,null,true,false,null,null,null,"CHECK ((length(key_context) = 8)) AND CHECK (
CASE
    WHEN (raw_key IS NOT NULL) THEN ((key_id IS NULL) AND (key_context IS NULL) AND (parent_key IS NOT NULL))
    ELSE ((key_id IS NOT NULL) AND (key_context IS NOT NULL) AND (parent_key IS NULL))
END)"
pgsodium,key,status,pgsodium.key_status,"default, valid, invalid, expired",true,'valid'::pgsodium.key_status,false,null,false,true,null,null,null,"CHECK ((length(key_context) = 8)) AND CHECK (
CASE
    WHEN (raw_key IS NOT NULL) THEN ((key_id IS NULL) AND (key_context IS NULL) AND (parent_key IS NOT NULL))
    ELSE ((key_id IS NOT NULL) AND (key_context IS NOT NULL) AND (parent_key IS NULL))
END)"
pgsodium,key,created,timestamp with time zone,null,false,CURRENT_TIMESTAMP,false,null,false,false,null,null,null,"CHECK ((length(key_context) = 8)) AND CHECK (
CASE
    WHEN (raw_key IS NOT NULL) THEN ((key_id IS NULL) AND (key_context IS NULL) AND (parent_key IS NOT NULL))
    ELSE ((key_id IS NOT NULL) AND (key_context IS NOT NULL) AND (parent_key IS NULL))
END)"
